Data Set,Target,Biological_Group_Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
1-SYBR,EF1alpha,BRA20_25dpe_234,,0.93853,-0.09152,0.49825,0.49825,,0.28767,0.28767,,,,,,,,,,,,,,,,,,,,,,3,15.88,0.77717,0.44870,
1-SYBR,EF1alpha,BRA20_25dpe_246,,0.92659,-0.11000,0.79440,0.79440,,0.45865,0.45865,,,,,,,,,,,,,,,,,,,,,,3,15.90,1.25507,0.72462,
10-SYBR,EF1alpha,BRA20_25dpe_2671,,0.62698,-0.67351,0.09966,0.09966,,0.05754,0.05754,,,,,,,,,,,,,,,,,,,,,,3,16.47,0.23269,0.13434,
10-SYBR,EF1alpha,BRA20_25dpe_2672,,0.61609,-0.69878,0.12622,0.12622,,0.07288,0.07288,,,,,,,,,,,,,,,,,,,,,,3,16.50,0.29992,0.17316,
10-SYBR,EF1alpha,BRA20_25dpe_2673,,0.76766,-0.38147,0.04986,0.04986,,0.02879,0.02879,,,,,,,,,,,,,,,,,,,,,,3,16.18,0.09509,0.05490,
10-SYBR,EF1alpha,BRA20_25dpe_2674,,1.17034,0.22693,0.15744,0.15744,,0.09090,0.09090,,,,,,,,,,,,,,,,,,,,,,3,15.56,0.19694,0.11370,
10-SYBR,EF1alpha,BRA20_25dpe_2675,,0.98555,-0.02101,0.19230,0.19230,,0.11103,0.11103,,,,,,,,,,,,,,,,,,,,,,3,15.81,0.28565,0.16492,
10-SYBR,EF1alpha,BRA20_25dpe_2676,,0.86059,-0.21660,0.06749,0.06749,,0.03896,0.03896,,,,,,,,,,,,,,,,,,,,,,3,16.01,0.11480,0.06628,
2-SYBR,EF1alpha,BRA20_25dpe_90,,0.50528,-0.98483,0.16204,0.16204,,0.09355,0.09355,,,,,,,,,,,,,,,,,,,,,,3,16.79,0.46947,0.27105,
1-SYBR,EF1alpha,BRA20_35dpe_238,,0.94880,-0.07583,0.44851,0.44851,,0.25895,0.25895,,,,,,,,,,,,,,,,,,,,,,3,15.87,0.69202,0.39954,
1-SYBR,EF1alpha,BRA20_35dpe_239,,0.95905,-0.06033,0.42783,0.42783,,0.24701,0.24701,,,,,,,,,,,,,,,,,,,,,,3,15.85,0.65305,0.37704,
1-SYBR,EF1alpha,BRA20_35dpe_243,,1.16307,0.21794,0.62898,0.62898,,0.36314,0.36314,,,,,,,,,,,,,,,,,,,,,,3,15.57,0.79167,0.45707,
