"File","waveforms","time"
"St19_1-ch3_BRA20male.converted.ANA",7,1892.6
"St19_1-ch3_BRA20male.converted.ANA",1,1961.74
"St19_1-ch3_BRA20male.converted.ANA",2,2334.17
"St19_1-ch3_BRA20male.converted.ANA",1,2375.52
"St19_1-ch3_BRA20male.converted.ANA",2,2386.23
"St19_1-ch3_BRA20male.converted.ANA",1,2397.05
"St19_1-ch3_BRA20male.converted.ANA",2,2402.99
"St19_1-ch3_BRA20male.converted.ANA",7,2579.23
"St19_1-ch3_BRA20male.converted.ANA",11,2906.95
"St19_1-ch3_BRA20male.converted.ANA",7,2910.48
"St19_1-ch3_BRA20male.converted.ANA",11,3224.97
"St19_1-ch3_BRA20male.converted.ANA",7,3229.26
"St19_1-ch3_BRA20male.converted.ANA",11,3687.09
"St19_1-ch3_BRA20male.converted.ANA",7,3692.07
"St19_1-ch3_BRA20male.converted.ANA",11,3725.73
"St19_1-ch3_BRA20male.converted.ANA",7,3728.72
"St19_1-ch3_BRA20male.converted.ANA",11,3756.68
"St19_1-ch3_BRA20male.converted.ANA",7,3759.02
"St19_1-ch3_BRA20male.converted.ANA",11,3814.96
"St19_1-ch3_BRA20male.converted.ANA",7,3825.57
"St19_1-ch3_BRA20male.converted.ANA",2,3841.77
"St19_1-ch3_BRA20male.converted.ANA",1,3894.84
"St19_1-ch3_BRA20male.converted.ANA",2,3971.44
"St19_1-ch3_BRA20male.converted.ANA",1,4497.63
"St19_1-ch3_BRA20male.converted.ANA",2,4577.86
"St19_1-ch3_BRA20male.converted.ANA",1,5022.62
"St19_1-ch3_BRA20male.converted.ANA",2,5331.11
"St19_1-ch3_BRA20male.converted.ANA",7,5430.41
"St19_1-ch3_BRA20male.converted.ANA",11,5642.6
"St19_1-ch3_BRA20male.converted.ANA",7,5669.74
"St19_1-ch3_BRA20male.converted.ANA",2,5816.91
"St19_1-ch3_BRA20male.converted.ANA",7,5868.07
"St19_1-ch3_BRA20male.converted.ANA",1,6850.67
"St19_1-ch3_BRA20male.converted.ANA",2,10539.34
"St19_1-ch3_BRA20male.converted.ANA",1,10698.58
"St19_1-ch3_BRA20male.converted.ANA",2,10701.82
"St19_1-ch3_BRA20male.converted.ANA",1,10706.03
"St19_1-ch3_BRA20male.converted.ANA",2,10728.92
"St19_1-ch3_BRA20male.converted.ANA",7,10754.82
"St19_1-ch3_BRA20male.converted.ANA",11,11031.81
"St19_1-ch3_BRA20male.converted.ANA",7,11038.85
"St19_1-ch3_BRA20male.converted.ANA",11,11252.65
"St19_1-ch3_BRA20male.converted.ANA",7,11263.57
"St19_1-ch3_BRA20male.converted.ANA",11,11335.78
"St19_1-ch3_BRA20male.converted.ANA",7,11370.68
"St19_1-ch3_BRA20male.converted.ANA",2,11716.53
"St19_1-ch3_BRA20male.converted.ANA",7,11760.02
"St19_1-ch3_BRA20male.converted.ANA",2,11874.13
"St19_1-ch3_BRA20male.converted.ANA",7,11904.26
"St19_1-ch3_BRA20male.converted.ANA",2,11916.08
"St19_1-ch3_BRA20male.converted.ANA",7,11926.36
"St19_1-ch3_BRA20male.converted.ANA",2,11935.83
"St19_1-ch3_BRA20male.converted.ANA",7,11948.19
"St19_1-ch3_BRA20male.converted.ANA",2,11974.48
"St19_1-ch3_BRA20male.converted.ANA",7,11980.79
"St19_1-ch3_BRA20male.converted.ANA",2,12152.47
"St19_1-ch3_BRA20male.converted.ANA",1,13199.16
"St19_1-ch3_BRA20male.converted.ANA",2,13301.44
"St19_1-ch3_BRA20male.converted.ANA",1,13523.98
"St19_1-ch3_BRA20male.converted.ANA",2,13590.62
"St19_1-ch3_BRA20male.converted.ANA",1,13626.02
"St19_1-ch3_BRA20male.converted.ANA",2,13705.56
"St19_1-ch3_BRA20male.converted.ANA",7,14221.26
"St19_1-ch3_BRA20male.converted.ANA",11,15176.76
"St19_1-ch3_BRA20male.converted.ANA",7,15187.15
"St19_1-ch3_BRA20male.converted.ANA",11,15203.83
"St19_1-ch3_BRA20male.converted.ANA",7,15207.57
"St19_1-ch3_BRA20male.converted.ANA",11,15225.79
"St19_1-ch3_BRA20male.converted.ANA",7,15228.03
"St19_1-ch3_BRA20male.converted.ANA",11,15319.57
"St19_1-ch3_BRA20male.converted.ANA",7,15325.37
"St19_1-ch3_BRA20male.converted.ANA",11,15366.19
"St19_1-ch3_BRA20male.converted.ANA",7,15373.08
"St19_1-ch3_BRA20male.converted.ANA",11,15799.69
"St19_1-ch3_BRA20male.converted.ANA",7,15802.25
"St19_1-ch3_BRA20male.converted.ANA",2,15850.11
"St19_1-ch3_BRA20male.converted.ANA",7,15878.31
"St19_1-ch3_BRA20male.converted.ANA",2,15936.26
"St19_1-ch3_BRA20male.converted.ANA",7,15950.84
"St19_1-ch3_BRA20male.converted.ANA",2,16015.6
"St19_1-ch3_BRA20male.converted.ANA",7,16041.67
"St19_1-ch3_BRA20male.converted.ANA",2,16068.87
"St19_1-ch3_BRA20male.converted.ANA",1,16262.91
"St19_1-ch3_BRA20male.converted.ANA",2,16511.26
"St19_1-ch3_BRA20male.converted.ANA",1,20577.87
"St19_1-ch3_BRA20male.converted.ANA",2,20678.25
"St19_1-ch3_BRA20male.converted.ANA",7,20780.89
"St19_1-ch3_BRA20male.converted.ANA",11,20821.51
"St19_1-ch3_BRA20male.converted.ANA",7,20828.41
"St19_1-ch3_BRA20male.converted.ANA",11,20859.92
"St19_1-ch3_BRA20male.converted.ANA",7,20865.43
"St19_1-ch3_BRA20male.converted.ANA",11,20894.42
